filename	price	unit	price_per_100g
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-cherry-yogurt-4x110g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-peach-4x110g.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-peach-4x110g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-raspberry-4x110g.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-raspberry-4x110g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-strawberry-4x110g.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-strawberry-4x110g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-vanilla-4x110g.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-vanilla-4x110g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|activia-mango-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-mango-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-natural-low-fat-yogurt-450g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-natural-low-fat-yogurt-450g.html	0.32999999999999996	100g	0.32999999999999996
/home/nacnudus/R/food/items/groceries|activia-strawberry---peach-yogurts-8x125g.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-strawberry---peach-yogurts-8x125g.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|activia-strawberry-yogurts-8x125g-7535830-p-44.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-strawberry-yogurts-8x125g-7535830-p-44.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|activia-weekly-red-fruits-yogurt-8x125g.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-weekly-red-fruits-yogurt-8x125g.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|activia-weekly-yellow-fruits-8x125g.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-weekly-yellow-fruits-8x125g.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|addlestones-cider-500ml.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|addlestones-cider-500ml.html	4	ltr	0.4
/home/nacnudus/R/food/items/groceries|adnams-broadside-ale-500ml.html	1.6500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|adnams-broadside-ale-500ml.html	3.3	ltr	0.32999999999999996
/home/nacnudus/R/food/items/groceries|adnams-copper-house-dry-gin-70cl.html	28	unit	NA
/home/nacnudus/R/food/items/groceries|adnams-copper-house-dry-gin-70cl.html	40	ltr	4
/home/nacnudus/R/food/items/groceries|adnams-southwold-bitter-500ml-%2845%25-abv%29.html	1.6500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|adnams-southwold-bitter-500ml-%2845%25-abv%29.html	3.3	ltr	0.32999999999999996
/home/nacnudus/R/food/items/groceries|aero-bubbly-minty-chocolate-mouse-4x59g.html	1.35	unit	NA
/home/nacnudus/R/food/items/groceries|aero-bubbly-minty-chocolate-mouse-4x59g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|aero-finesse-milk-chocolate-mousse-4x57g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|aero-finesse-milk-chocolate-mousse-4x57g.html	0.6599999999999999	100g	0.6599999999999999
/home/nacnudus/R/food/items/groceries|aero-instant-hot-chocolate-288g.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|aero-instant-hot-chocolate-288g.html	0.8700000000000001	100g	0.8700000000000001
/home/nacnudus/R/food/items/groceries|aero-milk-120g.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|aero-milk-120g.html	1	100g	1
/home/nacnudus/R/food/items/groceries|aero-milk-chocolate--4x27g.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|aero-milk-chocolate--4x27g.html	0.93	100g	0.93
/home/nacnudus/R/food/items/groceries|aero-milk-chocolate-mousse-4x59g.html	1.35	unit	NA
/home/nacnudus/R/food/items/groceries|aero-milk-chocolate-mousse-4x59g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|aero-mint-120g.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|aero-mint-120g.html	1	100g	1
/home/nacnudus/R/food/items/groceries|aero-mint-chocolate-4x27g.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|aero-mint-chocolate-4x27g.html	0.93	100g	0.93
/home/nacnudus/R/food/items/groceries|aero-peppermint-bubbles-pouch-113g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|aero-peppermint-bubbles-pouch-113g.html	1.33	100g	1.33
/home/nacnudus/R/food/items/groceries|aero-peppermint-bubbly-bar-40g.html	0.65	unit	NA
/home/nacnudus/R/food/items/groceries|aero-peppermint-bubbly-bar-40g.html	1.81	100g	1.81
/home/nacnudus/R/food/items/groceries|after-eight-giant-egg-500g.html	10	unit	NA
/home/nacnudus/R/food/items/groceries|after-eight-giant-egg-500g.html	2	100g	2
/home/nacnudus/R/food/items/groceries|after-eight-mousse-4x57g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|after-eight-mousse-4x57g.html	0.6599999999999999	100g	0.6599999999999999
/home/nacnudus/R/food/items/groceries|aftercut-3-day-green-lawn-feed-box.html	8	unit	NA
/home/nacnudus/R/food/items/groceries|aftercut-3-day-green-lawn-feed-box.html	8	ea	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-aromatic-thai-chicken---lemongrass-cup-soup-x3-69g.html	0.9500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-aromatic-thai-chicken---lemongrass-cup-soup-x3-69g.html	1.3800000000000001	100g	1.3800000000000001
/home/nacnudus/R/food/items/groceries|ainsley-harriott-broccoli---stilton-cup-soup-x3-70g.html	0.9500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-broccoli---stilton-cup-soup-x3-70g.html	1.32	100g	1.32
/home/nacnudus/R/food/items/groceries|ainsley-harriott-cream-of-mushrooms-cup-soup-x3-75g.html	0.9500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-cream-of-mushrooms-cup-soup-x3-75g.html	1.27	100g	1.27
/home/nacnudus/R/food/items/groceries|ainsley-harriott-east-indian-mulligatawny-cup-soup-x3-87g.html	0.9500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-east-indian-mulligatawny-cup-soup-x3-87g.html	1.09	100g	1.09
/home/nacnudus/R/food/items/groceries|ainsley-harriott-moroccan-medley-cous-cous-125g-7805543-p-44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-moroccan-medley-cous-cous-125g-7805543-p-44.html	8	kg	0.8
/home/nacnudus/R/food/items/groceries|ainsley-harriott-roasted-vegetable-cous-cous-125g-7805541-p-44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-roasted-vegetable-cous-cous-125g-7805541-p-44.html	8	kg	0.8
/home/nacnudus/R/food/items/groceries|ainsley-harriott-spice-sensation-cous-cous-125g-7805548-p-44.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-spice-sensation-cous-cous-125g-7805548-p-44.html	8	kg	0.8
/home/nacnudus/R/food/items/groceries|ainsley-harriott-sun-dried-tomato---garlic-cous-cous-125g.html	1	unit	NA
/home/nacnudus/R/food/items/groceries|ainsley-harriott-sun-dried-tomato---garlic-cous-cous-125g.html	8	kg	0.8
/home/nacnudus/R/food/items/groceries|ainsley-harriott-szechuan-hot---sour-cup-soup-x3-60g.html	0.9500000000000001	unit	NA
